Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
"","",Centennial C.C. ,Wed. ,9:00 a.m. - 10:30 a.m. ,Jan. 6 ,10 ,273637 ,$114
"","",Centennial C.C. ,Thu. ,1:00 p.m. - 2:30 p.m. ,Jan. 7 ,10 ,273639 ,$114
"","",Centennial C.C. ,Sat. ,9:30 a.m. - 11:00 a.m. ,Jan. 9 ,10 ,273638 ,$114
"","",Centennial C.C. ,Sun. ,9:30 a.m. - 11:00 a.m. ,Jan. 10 ,10 ,273635 ,$114
"","",Cornell C.C. ,Sat. ,10:00 a.m. - 11:30 a.m. ,Jan. 9 ,10 ,273536 ,$114
"","",Cornell C.C. ,Sat. ,12:30 p.m. - 2:00 p.m. ,Jan. 9 ,10 ,273537 ,$114
Mom and Tot Ballet ,2 - 3 yrs ,Cornell C.C. ,Sun. ,9:30 a.m. - 10:15 a.m. ,Jan. 10 ,10 ,273539 ,$76
"","",Cornell C.C. ,Sun. ,10:30 a.m. - 11:15 a.m. ,Jan. 10 ,10 ,273764 ,$76
"",2 - 4 yrs ,Cornell C.C. ,Fri. ,10:00 a.m. - 10:45 a.m. ,Jan. 8 ,10 ,273538 ,$76
Mommy and Me Yoga ,2 - 10 mths ,Milliken Mills C.C. ,Mon. ,5:45 p.m. - 6:45 p.m. ,Jan. 11 ,8 ,272281 ,$71
"","",Milliken Mills C.C. ,Wed. ,9:00 a.m. - 10:00 a.m. ,Jan. 13 ,8 ,272280 ,$71
Movin and Groovin’ ,2 - 5 yrs ,Thornhill C.C. ,Fri. ,10:30 a.m. - 11:30 a.m. ,Jan. 8 ,10 ,274630 ,$76
Museum - Mini Mornings ,2 - 4 yrs ,Markham Museum ,Wed. ,9:30 a.m. - 11:00 a.m. ,Jan. 6 ,4 ,273242 ,$64
"","",Markham Museum ,Sun. ,9:30 a.m. - 11:00 a.m. ,Jan. 10 ,4 ,273245 ,$64
"","",Markham Museum ,Wed. ,9:30 a.m. - 11:00 a.m. ,Feb. 3 ,4 ,273243 ,$64
"","",Markham Museum ,Sun. ,9:30 a.m. - 11:00 a.m. ,Feb. 7 ,4 ,273249 ,$64
"","",Markham Museum ,Wed. ,9:30 a.m. - 11:00 a.m. ,Mar. 2 ,4 ,273244 ,$64
Museum - Winter Munchkins ,3 - 6 yrs ,Markham Museum ,Sat. ,9:00 a.m. - 12:00 p.m. ,Jan. 9 ,8 ,273238 ,$189
Museum Pottery - Parent & Me Pottery ,4 yrs+ ,Markham Museum ,Sun. ,9:30 a.m. - 11:00 a.m. ,Jan. 10 ,4 ,273252 ,$150
"","",Markham Museum ,Sun. ,9:30 a.m. - 11:00 a.m. ,Feb. 7 ,4 ,273253 ,$150
Music Corner ,2 - 4 yrs ,Centennial C.C. ,Fri. ,9:30 a.m. - 10:30 a.m. ,Jan. 8 ,10 ,273540 ,$76
"",3 - 5 yrs ,Buttonville Women’s Institute ,Sat. ,11:45 a.m. - 12:45 p.m. ,Jan. 9 ,9 ,274060 ,$69
My Little Carpenter ,4 - 6 yrs ,Milliken Mills C.C. ,Thu. ,5:00 p.m. - 6:30 p.m. ,Jan. 14 ,5 ,272278 ,$69
"","",Milliken Mills C.C. ,Thu. ,5:00 p.m. - 6:30 p.m. ,Feb. 18 ,5 ,272279 ,$69
Our Time Together ,7 mths - 5 yrs ,Old Unionville Lib. C.C. ,Fri. ,9:30 a.m. - 11:00 a.m. ,Jan. 8 ,10 ,274053 ,$97
Our Time Together - Additional Child ,7 mths - 5 yrs ,Old Unionville Lib. C.C. ,Fri. ,9:30 a.m. - 11:00 a.m. ,Jan. 8 ,10 ,274054 ,$23
PA Day- Kinder Happenings ,3 - 5 yrs ,Thornhill C.C. ,Fri. ,9:00 a.m. - 12:00 p.m. ,Jan. 15 ,1 ,271511 ,$37
"","",Thornhill C.C. ,Mon. ,9:00 a.m. - 12:00 p.m. ,Feb. 1 ,1 ,271512 ,$37
Parent & Tot Soccer ,3 - 5 yrs ,Milliken Mills H.S. - (A2) ,Tue. ,6:00 p.m. - 7:00 p.m. ,Jan. 12 ,9 ,272326 ,$47.50
Parent & Tot Yoga ,2 - 10 mths ,Angus Glen C.C. ,Thu. ,9:30 a.m. - 10:30 a.m. ,Jan. 7 ,10 ,274044 ,$88.50
"","",Cornell C.C. ,Thu. ,10:45 a.m. - 11:45 a.m. ,Jan. 7 ,10 ,273541 ,$88.50
Parent and Tot Le Petit Tennis ,3 - 5 yrs ,Cornell C.C. ,Sun. ,10:00 a.m. - 11:00 a.m. ,Jan. 10 ,10 ,273765 ,$53
Parent Totspot ,2 - 3 yrs ,Markham Village C.C. ,Tue. ,9:30 a.m. - 11:00 a.m. ,Jan. 5 ,10 ,273542 ,$97
Playtime - Program 1 ,1.5 - 3 yrs ,Angus Glen C.C. ,Sat. ,9:15 a.m. - 10:45 a.m. ,Jan. 9 ,9 ,274061 ,$87.50
